doctor_id,first_name,last_name,specialty,license_number,load_date,record_source
DOC-001,正樹,田村,内科,MD-100001,2026-01-01,HOSPITAL_SYSTEM
DOC-002,由美子,佐々木,小児科,MD-100002,2026-01-01,HOSPITAL_SYSTEM
DOC-003,剛,西村,外科,MD-100003,2026-01-01,HOSPITAL_SYSTEM
DOC-004,明日香,三浦,皮膚科,MD-100004,2026-01-01,HOSPITAL_SYSTEM
DOC-005,俊介,岡田,整形外科,MD-100005,2026-01-01,HOSPITAL_SYSTEM
DOC-006,千恵,藤田,眼科,MD-100006,2026-01-01,HOSPITAL_SYSTEM
DOC-007,和也,橋本,耳鼻咽喉科,MD-100007,2026-01-01,HOSPITAL_SYSTEM
DOC-008,真理,近藤,産婦人科,MD-100008,2026-01-01,HOSPITAL_SYSTEM
DOC-009,哲也,石井,精神科,MD-100009,2026-01-01,HOSPITAL_SYSTEM
DOC-010,美穂,前田,放射線科,MD-100010,2026-01-01,HOSPITAL_SYSTEM
